section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
about_me_press,TRUE ,[Time to act on malnutrition in all its forms in West Africa](https://westafrica.transformnutrition.org/news/time-to-act-on-malnutrition-in-all-its-forms-in-west-africa/),Transform Nutrition West Africa,N/A,NA,2020,"My qualitative evidence synthesis was one of four works highlighted on this Bill 
and Melinda Gates Foundation funded knowledge mobilization platform",I was asked to give direct comment on my  findings to guide research and policy action,NA
about_me_press,FALSE,[Swipe right for science: Papr app is ‘Tinder for preprints’](https://www.nature.com/news/swipe-right-for-science-papr-app-is-tinder-for-preprints-1.22163),Nature News,N/A,2017,2017,Second press article for app Papr.,NA,NA
about_me_press,FALSE,[The Deeper Story in the Data](https://www.uvm.edu/uvmnews/news/deeper-story-data),University of Vermont Quarterly,N/A,2016,2016,Story on my path post graduation and the power of narrative.,NA,NA
academic_articles,TRUE ,[Application of Mathematical Models to inform National Strategic Planning in Nigeria](https://www.youtube.com/watch?v=w0Mo4qE3Pfw),6th Future of Malaria Research Symposium,N/A,2020,2020,Presentation of project performed at the Gerardin Lab ,NA,NA
academic_articles,TRUE ,"[Urban-rural Determinants of Malaria Transmission Intensity, Insecticide
 Treated Net Access and Use in Nigeria](https://www.nico.northwestern.edu/news-events/wednesdays-at-nico/)",Lightning Talk at the Northwestern Institute of Complex Systems ,,2020,2020,"Presentation of ongoing project at the Gerardin Lab with mentee, Chilochibi Chiziba ",NA,
academic_articles,TRUE,"[Country-Level Analysis of the Association between Maternal Obesity with Neonatal Mortality in Sub-Saharan Africa: A Cross- Sectional Study of 
Demographic and Health Surveys from 34 Countries](https://annalsofglobalhealth.org/articles/10.5334/aogh.2510/)",Annals of Global Health,N/A,2019,2019,"Authored with Mamudu HM, Wang L, Wallace R, Quinn M, Liu Y, Doctor HV",NA,NA
academic_articles,TRUE,[Is the Positive Association of Middle Income and Rich Household Wealth on Adult Sub-Saharan African Womens Overweight Status Modified by the Level of Education Attainment? A Cross-sectional Study of 22 countries](https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-08956-3),BMC Public Health ,N/A,2020,2020,"Authored with Quinn M, Mercer LD, Omoike EO, Mamudu HM",NA,NA
academic_articles,TRUE,"[A Qualitative 
Evidence Synthesis of Contextual Factors Contributing to Female Overweight and Obesity over the Life Course in
Sub-Saharan Africa](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224612)",PLoS One,N/A,2019,2019,"Authored with Littleton MA, Nwabueze C, Famojuro O, Quinn M, Wallace R, Mamudu HM",NA,NA
academic_articles,TRUE,"[The Influence of the Social and Cultural Environment on Maternal 
Mortality in Nigeria: Evidence from the 2013 Demographic and Health Survey](https://-
doi.org/10.1371/journal.pone.019)",PLoS One,N/A,2017,2017,"Authored with Ariyo O, Doctor HV",NA,NA
academic_articles,TRUE,"[An Association of Health Behaviors with Depression and Metabolic 
Risks: Data from 2007 to 2014 U.S. National Health and Nutrition Examination Survey](https://pubmed.ncbi.nlm.nih.gov/28412644/)",Journal of Affective Disorders ,N/A,2017,2017,"Authored with Liu Y, Yu Y, Hess R, Bie R",,
academic_articles,FALSE,Declines of Mysis diluviana in the Great Lakes,Journal of Great Lakes Research,N/A,2015,2015,Authored with Peter Euclide and Jason Stockwell.,NA,NA
academic_articles,FALSE,[Continuous Classification using Deep Neural Networks](http://nickstrayer.me/qualifying_exam/),Vanderbilt Biostatistics Qualification Exam,N/A,2017,2017,Review of methods for classifying continuous data streams using neural networks,Successfully met qualifying examination standards,NA
academic_articles,FALSE,[Charge Reductions Associated with Shortening Time to Recovery in Septic Shock](https://www.ncbi.nlm.nih.gov/pubmed/30419234),Chest,N/A,2019,2019,"Authored with Wesley H. Self, MD MPH; Dandan Liu, PhD; Stephan Russ, MD, MPH; Michael J. Ward, MD, PhD, MBA; Nathan I. Shapiro, MD, MPH; Todd W. Rice, MD, MSc; Matthew W. Semler, MD, MSc.",NA,NA
academic_articles,FALSE,R timelineViz: Visualizing the distribution of study events in longitudinal studies,Under-Review (copy available upon request.),N/A,2018,2018,Authored with Alex Sunderman of the Vanderbilt Department of Epidemiology.,NA,NA
academic_articles,FALSE,[Multimorbidity Explorer | A shiny app for exploring EHR and biobank data](http://nickstrayer.me/rstudioconf19_me-poster/),RStudio::conf 2019,N/A,2019,2019,Contributed Poster. Authored with Yaomin Xu.,NA,NA
academic_articles,FALSE,[Taking a network view of EHR and Biobank data to find explainable multivariate patterns](http://nickstrayer.me/biostat_seminar/),Vanderbilt Biostatistics Seminar Series,N/A,2019,2019,University wide seminar series.,NA,NA
academic_articles,FALSE,Patient-specific risk factors independently influence survival in Myelodysplastic Syndromes in an unbiased review of EHR records,Under-Review (copy available upon request.),NA,NA,2019,Bayesian network analysis used to find novel subgroups of patients with Myelodysplastic Syndromes (MDS).,Analysis done using method built for my dissertation.,NA
academic_articles,FALSE,Building a software package in tandem with machine learning methods research can result in both more rigorous code and more rigorous research,ENAR 2020,NA,NA,2020,Invited talk in Human Data Interaction section.,How and why building an R package can benefit methodological research,NA
academic_articles,FALSE,"[Stochastic Block Modeling in R, Statistically rigorous clustering with rigorous code](http://nickstrayer.me/rstudioconf_sbm)",RStudio::conf 2020,NA,NA,2020,Invited talk about new [sbmR package](https://tbilab.github.io/sbmR/).,Focus on how software development and methodological research can improve both benefit when done in tandem.,NA
academic_articles,FALSE,Patient specific comorbidities impact overall survival in myelofibrosis,Under-Review (copy available upon request.),NA,NA,2019,Bayesian network analysis used to find robust novel subgroups of patients with given genetic mutations.,Analysis done using method built for my dissertation.,NA
by_me_press,FALSE,[The Great Student Migration](https://www.nytimes.com/interactive/2016/08/26/us/college-student-migration.html?smid=pl-share),The New York Times,N/A,2016,2016,Most shared and discussed article from the New York Times for August 2016.,NA,NA
by_me_press,FALSE,"[Wildfires are Getting Worse, The New York Times](https://www.nytimes.com/interactive/2016/07/25/us/wildfire-seasons-los-angeles.html)",The New York Times,N/A,2016,2016,GIS analysis and modeling of fire patterns and trends,Data in collaboration with NASA and USGS,NA
by_me_press,FALSE,[Who’s Speaking at the Democratic National Convention?](https://www.nytimes.com/2016/07/26/upshot/democrats-may-not-be-unified-but-their-convention-speakers-are.html),The New York Times,N/A,2016,2016,Data scraped from CSPAN records to figure out who talked and past conventions.,NA,NA
by_me_press,FALSE,[Who’s Speaking at the Republican National Convention?](https://www.nytimes.com/2016/07/19/upshot/whos-not-speaking-how-this-republican-convention-differs.html?smid=pl-share),The New York Times,N/A,2016,2016,Used same data scraping techniques as Who’s Speaking at the Democratic National Convention?,NA,NA
by_me_press,FALSE,"[A Trail of Terror in Nice, Block by Block](https://www.nytimes.com/interactive/2016/07/14/world/europe/trail-of-terror-france.html)",The New York Times,N/A,2016,2016,"Led research effort to put together story of 2016 terrorist attack in Nice, France in less than 12 hours.","Work won Silver medal at Malofiej 2017, and gold at Society of News and Design.",NA
data_science_writings,FALSE,[Classifying physical activity from smartphone data](https://blogs.rstudio.com/tensorflow/posts/2018-07-17-activity-detection/),RStudio Tensorflow Blog,NA,NA,2018,Walk through of training a convolutional neural network to achieve state of the art recognition of activities from accelerometer data.,Contracted article.,NA
data_science_writings,FALSE,[Using AWK and R to Parse 25tb](https://livefreeordichotomize.com/2019/06/04/using_awk_and_r_to_parse_25tb/),LiveFreeOrDichotomize.com,NA,NA,2019,Story of parsing large amounts of genomics data.,Provided advice for dealing with data much larger than disk.,Reached top of HackerNews.
data_science_writings,FALSE,[The United States of Seasons](https://livefreeordichotomize.com/2018/02/12/the-united-states-of-seasons/),LiveFreeOrDichotomize.com,NA,NA,2018,GIS analysis of weather data to find the most 'seasonal' locations in United States,Used Bayesian regression methods for smoothing sparse geospatial data.,NA
data_science_writings,FALSE,[A year as told by fitbit](https://livefreeordichotomize.com/2017/12/27/a-year-as-told-by-fitbit/),LiveFreeOrDichotomize.com,NA,NA,2017,Analyzing a full years worth of second-level heart rate data from wearable device.,Demonstrated visualization-based inference for large data.,NA
data_science_writings,FALSE,[MCMC and the case of the spilled seeds](https://livefreeordichotomize.com/2017/10/14/mcmc-and-the-case-of-the-spilled-seeds/),LiveFreeOrDichotomize.com,NA,NA,2017,Full Bayesian MCMC sampler running in your browser.,Coded from scratch in vanilla Javascript.,NA
data_science_writings,FALSE,[The Traveling Metallurgist](https://livefreeordichotomize.com/2017/09/25/the-traveling-metallurgist/),LiveFreeOrDichotomize.com,NA,NA,2020,NA,NA,NA
education,TRUE,"DrPH, Epidemiology","Dept of Biostatistics and
 Epidemiology",East Tenessee State University ,2015,2019,Dissertation: The prevalence and context of Adult Female Overweight and Obesity in sub-Saharan Africa,Recipient of a Rotary International Global Grant ,
education,TRUE,"MPH, Health Services Administration ",Health Services Management and Policy ,East Tenessee State University ,2010,2012,Supported evaluation of national tobacco policies during internship with the World Health Organization,Recipient of the Frist Global Health Leader Award ,
industry_positions,FALSE,Software Engineering Intern,Conduce,"Carpinteria, CA",2014,2014,Incorporated d3.js to the company's main software platform.,NA,NA
industry_positions,FALSE,Engineering Intern - User Experience,Dealer.com,"Burlington, VT",2015,2015,Built internal tool to help analyze and visualize user interaction with back-end products.,NA,NA
industry_positions,FALSE,Data Science Intern,Dealer.com,"Burlington, VT",2015,2015,Worked with the product analytics team to help parse and visualize large stores of data to drive business decisions.,NA,NA
industry_positions,FALSE,Data Artist In Residence,Conduce,"Carpinteria, CA",2014,2015,"Envisioned, prototyped and implemented visualization framework in the course of one month.",Constructed training protocol for bringing third parties up to speed with new protocol.,NA
industry_positions,FALSE,Data Journalist - Graphics Department,New York Times,"New York, New York",2016,2016,"Reporter with the graphics desk covering topics in science, politics, and sport.","Work primarily done in R, Javascript, and Adobe Illustrator.",
research_positions,TRUE,Postdoctoral Fellow ,Malaria Modeling Research Group (Gerardin's Lab),Northwestern University,2019,present,"Lead survey data analysis and simulation modeling on a $3 million grant to
identify optimal intervention packages for malaria control and elimination in
various transmission settings.","Respond to analysis requests from clients such as the World Health Organization 
and policy-makers in endemic countries","Communicate research methods, results and recommendations to clients to
inform national strategic planning, and at national and international conferences"
research_positions,TRUE,Consultant ,"Dept of Science, Information and Dissemination","World
 Health Organization",2020,2020,Supported development of the annual regional health indicators report for the Regional Office for the Eastern Medditerranean,"Led data visualization of these
 indicators for the report, interfacing with the graphics team to ensure
 timely production of report",NA
research_positions,TRUE,Graduate Student Researcher,"Dept of Biostatistics and
 Epidemiology",East Tenessee State University ,2015,2019,"Co-authored research papers on metabolic syndrome, obesity and adverse childhood experiences ",Mentored masters-level researchers,Teaching assistant for several biostatistics and epidemiology courses 
research_positions,TRUE ,Lead Consultant ,Data Analysis and Evaluation ,Community Innovation Center ,2014,2015,"Founded a consultancy company to support program planning, data analysis and evaluation ","Led a needs assessment to support restructuring of the National Neglected
 Tropical Diseases Monitoring and Evaluation Systems (client: RTI International)","Supported strengthening of data collection
and analysis to understand the distribution and purchasing practices for malaria
chemotherapy (client: Society for Family Health)"
research_positions,TRUE ,Global Health Fellow ,Research and Communications ,Centre for Infectious Disease Research in Zambia,2013,2014,Designed a data collection and analysis platform for an NIH-funded Rotavirus study,Worked with the communications department to develop CIDRZ annual report,NA
teaching_positions,FALSE,Javascript for Shiny Users,RStudio::conf 2020,NA,NA,2020,Served as TA for two day workshop on how to leverage Javascript in Shiny applications,Lectured on [using R2D3 package to build interactive visualizations.](http://nickstrayer.me/js4shiny_r2d3/slides),
teaching_positions,FALSE,Statistical Computing in R,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2017,TA and lectured,Covered introduction to R language for statistics applications,Graduate level class
teaching_positions,FALSE,Advanced Statistical Learning and Inference,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2018,TA and lectured,Topics covered from penalized regression to boosted trees and neural networks,Highest level course offered in department
teaching_positions,FALSE,Advanced Statistical Computing,Vanderbilt Biostatistics Department,"Nashville, TN",2018,2018,TA and lectured,Covered modern statistical computing algorithms,4th year PhD level class
teaching_positions,FALSE,Data Visualization Best Practices,DataCamp,N/A,2019,2019,Designed from bottom up course to teach best practices for scientific visualizations.,Uses R and ggplot2.,In top 10% on platform by popularity.
teaching_positions,FALSE,Improving your visualization in Python,DataCamp,N/A,2019,2019,Designed from bottom up course to teach advanced methods for enhancing visualization.,"Uses python, matplotlib, and seaborn.",NA
